"Kaygi" "Korku" "Ozyet" "Ilgi" "Davranis" "Basari"
"139" 0.06 -0.076 -0.77 0.6584 2.2022 3.3
"140" 1.26 2.6645 -1.21 -1.5329 0.2171 3
"141" 0.06 -0.53 -0.92 -0.1091 -0.0721 3.9
"142" 2.55 3.9067 0.34 0.5739 0.9618 3.7
"143" 0.79 0.64 -0.63 -1.5329 -1.0226 4
"144" 1.53 3.9067 2.27 1.0873 0.6426 4
"145" 0.32 -0.076 -0.77 -0.2514 0.2171 3.8
"146" 0.56 0.64 -0.48 -0.7332 0.6426 4.5
"147" -0.2 0.3889 -0.02 1.4565 0.9618 3.2
"148" -0.47 -0.3017 1.07 1.4565 1.7024 4.3
"149" 0.32 0.1524 -0.63 -0.2514 1.2288 3.9
"150" 0.79 0.64 -1.36 1.4565 -2.1402 4.5
"151" -0.73 -0.53 -0.92 0.6584 -1.0226 3.5
"152" 0.56 -0.53 -1.21 -0.2514 -0.0721 3.7
"153" 2.55 -0.076 0.15 -1.5329 0.6426 3.6
"154" 0.79 0.3889 -0.02 -1.5329 0.2171 3.7
"155" 1.53 1.2219 -0.48 -1.5329 -0.0721 3.7
"156" 2.55 2.0328 -0.77 -1.5329 -0.4567 3.7
"157" -0.47 0.64 0.15 0.1775 0.4486 4.4
"158" 0.79 -0.3583 -0.63 -0.7332 0.4486 3.1
"159" 2.55 2.6645 -1.68 -0.2514 -0.0721 3.9
"160" -0.2 -0.767 -0.48 0.1775 -0.0721 3.8
"161" -0.47 -0.53 -0.02 0.1775 1.2288 3.8
"162" 1.53 0.3889 -0.48 0.6584 0.4486 3.7
"163" 0.32 0.1524 -0.63 -1.5329 -2.1402 4.8
"164" -0.47 1.2219 2.27 0.1775 0.6426 4.7
"165" 0.56 2.6645 0.54 0.1775 1.5866 4.7
"166" 0.32 -0.076 -0.33 -0.7332 -0.0721 4.5
"167" 0.79 0.9139 -0.48 0.6584 -0.0721 4.3
"168" 1.89 3.9067 1.47 1.4565 1.5866 4.6
"169" 2.55 0.1524 -1.06 0.1775 0.4486 4.5
"170" 0.56 2.0328 0.54 -0.2514 -1.0226 5.5
"171" 0.32 0.3889 0.15 1.4565 0.6426 4.2
"172" 0.32 0.1524 -0.67 -1.5329 -1.0226 4.1
"173" 0.56 -0.3017 -0.18 -0.1091 1.2288 4.9
"174" -1 -1.2999 2.27 -0.2514 0.4486 4.6
"175" -1 -0.3017 0.34 -0.2514 1.4702 4.2
"176" 0.56 0.9139 -0.77 -0.2514 1.0998 4.2
"177" 0.79 -0.076 -0.63 0.1775 0.2171 4.4
"178" 1.89 2.0328 0.54 0.9484 -0.4567 4.1
"179" 0.79 0.1524 -0.18 -0.2514 0.4486 3.8
"180" 1.02 -0.767 -0.48 1.4565 -0.4567 3.4
"181" -0.47 0.1524 0.15 -0.2514 0.4486 5
"182" 0.79 1.5828 -0.77 -0.7332 -0.0721 4.6
"183" 0.56 0.1524 -0.63 0.6088 -2.1402 4.8
"184" -2.37 -1.2999 0.78 1.4565 0.4486 4.5
"185" -0.2 -0.3017 -0.18 1.4565 0.6426 3.5
"186" 2.55 0.9139 -0.77 0.1775 0.6426 3.9
"187" 0.06 0.3889 -1.06 1.4565 -0.4567 3.5
"188" 1.26 1.2219 -0.48 -0.4887 1.2288 4.2
"189" 0.79 0.9139 -0.77 0.6088 -0.0721 5
"190" -0.2 -0.53 -0.33 1.4565 0.2171 4.8
"191" 1.53 0.64 -0.18 -0.2514 0.4486 4.2
"192" 0.06 -0.076 -0.48 -0.7332 -0.0721 4.4
"193" -0.47 0.3889 -0.48 1.4565 0.4486 4.7
"194" -0.2 -0.767 -0.77 1.4565 -0.0721 3.6
"195" 0.06 0.64 -0.18 1.4565 1.9398 4.5
"196" 0.56 -1.0202 1.07 1.4565 2.0662 4.7
"197" 0.32 0.9139 -0.48 -0.2514 1.0998 4.2
"198" -0.2 -1.2999 -0.63 1.2841 0.2171 4.7
"199" 1.53 2.0328 -0.02 -1.5329 0.4486 3.2
"200" -0.73 0.64 -0.18 -0.7332 0.6185 3.7
"201" -0.47 -0.767 0.78 -0.2514 0.9618 3.9
"202" 0.06 0.64 -0.63 0.3941 -0.4567 4.2
"203" 0.79 0.64 -0.48 -0.2514 0.4486 3
"204" -0.73 -0.53 -1.21 -1.5329 -1.0226 3.2
"205" 0.56 -0.076 -0.77 -0.2514 0.9618 3.5
"206" -0.2 0.3889 -0.02 -0.7332 0.4486 3.7
"207" 0.32 0.9139 -0.33 1.4565 0.2171 4.8
"208" -0.73 -0.53 2.27 -0.2514 0.811 5.8
"209" 0.06 -0.076 0.15 1.4565 1.3516 4.7
"210" 1.02 -0.3017 -0.33 1.4565 0.4486 4.6
"211" 0.79 -0.076 0.34 0.4296 0.6426 5
"212" -1 -1.2999 -0.02 1.4565 0.811 4.3
"213" 0.06 -1.0202 0.78 -0.7332 0.6426 4.8
"214" -0.2 0.3889 -0.02 1.1091 0.2171 4.2
"215" -0.47 -2.0269 1.07 1.4565 2.7409 5.1
"216" -1.68 -1.0202 0.34 1.4565 1.8194 4.9
"217" 1.02 1.2219 0.54 0.6584 1.3516 5.3
"218" 1.26 0.64 -1.36 0.6584 0.2171 3.2
"219" -0.73 -1.2999 -0.18 0.6584 -0.0721 4.1
"220" 0.56 1.2219 -0.18 1.2691 0.2171 4.4
"221" 0.06 0.64 -0.18 -0.2514 0.811 4.2
"222" 0.06 -0.3017 -0.63 -0.4946 -0.0721 3.2
"223" 0.06 0.1524 -0.63 1.4565 0.2171 3.7
"224" 0.56 0.1524 -0.33 0.1775 1.4702 3.7
"225" 0.56 1.8926 -0.33 -1.5329 0.403 3.8
"226" -0.2 0.64 0.34 1.4565 1.0998 4.3
"227" 2.55 1.2219 1.47 -0.2514 1.8194 3.8
"228" 0.06 -0.53 -0.18 -0.2514 0.811 5.5
"229" 0.32 0.1524 0.34 -1.3074 -0.0721 5.2
"230" 1.26 0.3889 -0.18 -0.2514 0.811 5.2
"231" -1 -2.0269 -0.02 1.4565 0.6426 5
"232" 0.32 0.3889 -0.02 -1.5329 -0.4567 4.5
"233" -0.47 -1.2999 0.54 -0.2514 -0.0721 5.8
"234" 0.32 0.64 -0.48 -1.3074 0.2171 5.2
"235" -1 0.3889 2.27 1.4565 0.6426 4.8
"236" 1.89 1.2219 0.34 0.6584 0.2171 5.3
"237" 0.56 1.2219 -0.18 -0.2514 0.4486 5.7
"238" 1.02 1.2219 -0.48 -0.7332 0.4486 4.8
"239" -0.47 -0.076 2.27 1.1696 1.9398 3.7
"240" 0.06 -2.5995 2.27 1.3469 -0.0721 4.4
"241" 0.11 0.3889 -0.33 -0.2514 1.4702 4.5
"242" 2.55 1.5828 -0.63 0.0758 -0.0721 3.4
"243" -2.37 -3.7666 2.27 1.4565 2.7409 4.4
"244" 0.32 -0.767 -0.67 0.6584 0.2171 4
"245" 0.79 0.64 -0.18 -0.2514 1.4702 4
"246" 0.79 2.0328 0.15 0.6584 1.8317 3.4
"247" 1.02 0.3889 -0.48 0.1775 -0.4567 5
"248" 0.06 -1.2999 2.27 1.4565 -0.0721 6.1
"249" 0.56 0.3889 -0.33 1.4565 -0.0721 5.2
"250" 0.32 -0.3017 -0.48 1.4565 0.6426 5
"251" 0.06 -1.0202 0.34 -0.2514 0.3809 5.2
"252" 0.79 0.1524 0.34 1.4565 -0.0721 4.1
"253" 1.26 2.0328 0.15 -1.3074 -0.0721 5.2
"254" 1.53 0.64 -0.18 -0.3495 -1.0226 5.3
