Motivasyon,SinifIklm,Degerlendirme,Yonlendirme,Ogretim,Destek,cinsiyet
1.59,-1.2,2.6295,0.9374,0.7228,1.68,2
0.05,-0.33,-0.5945,-0.5809,-0.0798,-0.28,1
-0.39,0.2,-0.2859,-0.1057,-0.3204,-0.09,2
0.05,1.85,1.0416,0.9374,0.1672,0.97,2
1.11,0.49,0.5054,-0.5809,0.7228,1.68,2
0.8,0.2,1.0416,0.7183,1.0768,0.34,1
0.5,0.49,-0.0092,0.9374,1.0768,0.11,2
-1.12,-0.08,-0.2859,0.4855,-1.0685,-0.66,1
-1.12,-1.39,0.5054,1.1547,0.4297,-0.09,1
0.05,-0.53,-0.0092,0.2217,-0.0798,-0.28,2
0.05,-1.39,0.2509,0.2217,1.0768,0.34,2
0.5,-1.9,0.5054,2.3831,1.0768,0.11,1
-0.67,1.19,0.7644,-0.5809,-0.3204,-0.86,2
-1.33,-1.04,-1.4597,-1.5999,-1.3515,-1.06,1
0.05,-0.08,-0.0092,0.2217,-0.0798,-0.09,2
0.05,-0.88,-0.0092,0.2217,0.4297,-0.28,2
-0.39,-1.39,0.5054,1.3823,0.1672,0.11,1
1.11,1.85,1.0416,0.9374,2.563,1.68,2
0.05,-0.08,0.2509,-0.1057,0.1672,-0.09,1
-0.9,0.2,1.7916,1.3823,1.0768,0.11,2
0.8,-0.53,1.0207,-1.5999,0.7228,0.61,2
-0.39,0.81,-0.5945,-1.5999,0.4297,-0.28,1
0.05,1.85,0.5054,0.7183,2.563,0.97,2
0.05,0.81,0.2509,-1.5999,2.563,1.68,1
0.05,0.49,-0.0092,-0.5809,0.4297,0.61,1
-0.39,1.85,-0.5945,-0.1057,-0.0798,-0.28,1
0.8,0.49,-0.2859,-1.5999,0.7228,0.97,2
1.59,0.81,0.2509,1.1547,0.1672,-0.09,1
-0.67,1.85,1.7916,0.4855,2.563,1.68,2
-2.3,-1.6,-0.2859,-0.5809,-0.3204,-0.47,2
0.5,0.81,1.0416,0.9374,1.5697,0.97,2
-1.12,-0.08,-2.3919,-0.5809,-1.3515,-0.86,2
-1.33,-0.08,-2.3919,-0.1057,0.7228,-0.09,2
-0.39,-0.33,0.2509,0.2217,-1.6731,-0.09,2
0.05,-0.08,0.2509,0.2217,0.1672,1.68,1
1.59,-0.08,0.2509,-0.1057,-0.3204,0.61,2
1.11,-0.08,-0.0092,-0.5809,-0.5612,-1.06,1
-0.67,-0.88,-0.9963,-1.5999,-1.0685,-0.09,2
-0.39,-0.71,-0.9632,-1.5999,-1.0685,-0.86,1
-1.12,0.49,-0.5945,0.4855,-0.3204,-0.66,2
1.11,-0.71,-0.9632,-0.5809,-0.5612,-1.53,2
1.59,1.85,1.0416,-1.5999,2.563,1.68,2
-1.12,0.81,-0.9632,0.9374,-0.3204,-0.47,1
-1.33,-1.2,-0.0092,-0.1057,0.4297,-0.28,1
-0.67,-0.71,-1.4597,-0.5809,-0.5612,-0.86,2
1.11,-0.08,-0.9632,-1.5999,-0.5612,-0.09,1
0.05,-0.88,-1.4597,-0.5809,-1.3515,-1.28,2
-0.39,-0.08,-0.2859,0.7183,0.1672,0.97,2
0.8,-1.39,1.7916,-1.5999,0.4297,0.11,2
-0.9,-0.08,-1.4597,-0.5809,-0.3204,-0.66,2
0.8,-0.08,0.2509,0.7183,0.1672,-0.09,2
0.05,-0.53,1.7916,1.945,2.563,0.61,2
-0.39,-0.33,0.5054,0.7183,0.4297,0.17,2
-0.9,0.2,0.2509,0.7183,1.0768,1.68,2
-1.83,0.81,-0.9632,0.4855,-0.3204,0.61,2
1.11,1.19,2.6295,2.3831,0.7228,0.34,1
0.05,-1.04,0.2509,0.4855,1.0768,-1.28,2
1.11,0.49,1.7916,1.3823,0.7228,0.61,2
0.05,-0.08,0.2509,0.7183,2.563,0.61,2
1.59,-0.08,2.6295,3.3108,2.563,1.68,1
1.59,0.2,0.7644,0.9374,0.1672,0.11,2
0.5,-1.2,0.2509,0.4855,0.4297,-0.28,1
0.05,-0.08,0.5054,0.9374,0.1672,-1.06,1
0.05,-0.71,1.3625,1.945,1.0768,0.11,1
-0.89,1.19,0.7644,0.2217,0.7228,0.97,2
-0.67,-0.33,-0.2859,0.4855,-1.3515,0.11,2
0.8,-0.08,1.3625,0.9374,0.4297,-0.09,2
-0.67,0.49,-1.4597,-0.1057,-0.5612,-1.53,2
0.05,0.81,-0.0092,0.9374,0.1672,-0.09,2
-1.83,-0.08,-0.5945,-0.1057,-0.5612,-0.28,1
1.11,0.2,0.2509,0.9374,1.0768,0.11,1
-1.12,-0.88,-0.9632,-0.1057,0.4297,0.61,1
-0.67,-0.08,-0.0092,0.2217,-0.3204,0.34,2
-0.67,-0.08,1.3625,1.636,2.563,0.61,2
-0.67,-0.53,-0.2859,0.2217,-0.0798,-0.09,1
-1.12,0.2,0.5054,0.2217,0.7228,0.11,2
-2.3,-1.39,-0.2859,0.4855,-0.3204,-0.86,1
-0.67,-0.33,-0.5945,0.2217,-2.6036,-1.06,2
